ligand_file_name,ligand_SMILES,ligand_stoichiometry,ligand_bidentateQ,ligand_number_of_atoms,ligand_charge,ligand_multiplicity,ligand_convergence_criteria,ligand_dipole,ligand_molar_mass,ligand_molar_volume,ligand_electronic_spatial_extent,ligand_homo_energy,ligand_lumo_energy,ligand_electronegativity,ligand_hardness,ligand_electrophilicity,ligand_E_scf,ligand_zero_point_correction,ligand_E_thermal_correction,ligand_H_thermal_correction,ligand_G_thermal_correction,ligand_E_zpe,ligand_E,ligand_H,ligand_G,ligand_ES_root_dipole,ligand_ES_root_molar_volume,ligand_ES_root_electronic_spatial_extent,ligand_ES1_transition,ligand_ES1_osc_strength,ligand_ES1_<S**2>,ligand_ES2_transition,ligand_ES2_osc_strength,ligand_ES2_<S**2>,ligand_ES3_transition,ligand_ES3_osc_strength,ligand_ES3_<S**2>,ligand_ES4_transition,ligand_ES4_osc_strength,ligand_ES4_<S**2>,ligand_ES5_transition,ligand_ES5_osc_strength,ligand_ES5_<S**2>,ligand_ES6_transition,ligand_ES6_osc_strength,ligand_ES6_<S**2>,ligand_ES7_transition,ligand_ES7_osc_strength,ligand_ES7_<S**2>,ligand_ES8_transition,ligand_ES8_osc_strength,ligand_ES8_<S**2>,ligand_ES9_transition,ligand_ES9_osc_strength,ligand_ES9_<S**2>,ligand_ES10_transition,ligand_ES10_osc_strength,ligand_ES10_<S**2>,ligand_c_min_atom_number,ligand_c_min_atom,ligand_c_min_atom=N,ligand_c_min_atom=C,ligand_c_min_atom=O,ligand_c_min_Mulliken_charge,ligand_c_min_APT_charge,ligand_c_min_NPA_charge,ligand_c_min_NPA_core,ligand_c_min_NPA_valence,ligand_c_min_NPA_Rydberg,ligand_c_min_NPA_total,ligand_c_min_NMR_shift,ligand_c_min_NMR_anisotropy,ligand_c_min_ES_root_Mulliken_charge,ligand_c_min_ES_root_NPA_charge,ligand_c_min_ES_root_NPA_core,ligand_c_min_ES_root_NPA_valence,ligand_c_min_ES_root_NPA_Rydberg,ligand_c_min_ES_root_NPA_total,ligand_c_min+1_atom_number,ligand_c_min+1_atom,ligand_c_min+1_atom=C,ligand_c_min+1_atom=O,ligand_c_min+1_Mulliken_charge,ligand_c_min+1_APT_charge,ligand_c_min+1_NPA_charge,ligand_c_min+1_NPA_core,ligand_c_min+1_NPA_valence,ligand_c_min+1_NPA_Rydberg,ligand_c_min+1_NPA_total,ligand_c_min+1_NMR_shift,ligand_c_min+1_NMR_anisotropy,ligand_c_min+1_ES_root_Mulliken_charge,ligand_c_min+1_ES_root_NPA_charge,ligand_c_min+1_ES_root_NPA_core,ligand_c_min+1_ES_root_NPA_valence,ligand_c_min+1_ES_root_NPA_Rydberg,ligand_c_min+1_ES_root_NPA_total,ligand_c_max_atom_number,ligand_c_max_atom,ligand_c_max_atom=P,ligand_c_max_Mulliken_charge,ligand_c_max_APT_charge,ligand_c_max_NPA_charge,ligand_c_max_NPA_core,ligand_c_max_NPA_valence,ligand_c_max_NPA_Rydberg,ligand_c_max_NPA_total,ligand_c_max_NMR_shift,ligand_c_max_NMR_anisotropy,ligand_c_max_ES_root_Mulliken_charge,ligand_c_max_ES_root_NPA_charge,ligand_c_max_ES_root_NPA_core,ligand_c_max_ES_root_NPA_valence,ligand_c_max_ES_root_NPA_Rydberg,ligand_c_max_ES_root_NPA_total,ligand_c_max-1_atom_number,ligand_c_max-1_atom,ligand_c_max-1_atom=C,ligand_c_max-1_atom=H,ligand_c_max-1_atom=P,ligand_c_max-1_Mulliken_charge,ligand_c_max-1_APT_charge,ligand_c_max-1_NPA_charge,ligand_c_max-1_NPA_core,ligand_c_max-1_NPA_valence,ligand_c_max-1_NPA_Rydberg,ligand_c_max-1_NPA_total,ligand_c_max-1_NMR_shift,ligand_c_max-1_NMR_anisotropy,ligand_c_max-1_ES_root_Mulliken_charge,ligand_c_max-1_ES_root_NPA_charge,ligand_c_max-1_ES_root_NPA_core,ligand_c_max-1_ES_root_NPA_valence,ligand_c_max-1_ES_root_NPA_Rydberg,ligand_c_max-1_ES_root_NPA_total,ligand_c_min_%VBur,ligand_c_min+1_%VBur,ligand_c_max_%VBur,ligand_c_max-1_%VBur
AmPhos-7,CC(C)(C)P(C(C)(C)C)C1=CC=C(N(C)C)C=C1,C16H28NP,0,46,0,1,met,3.2138,265.3777,3056.126,6490.7998,-0.18822,0.00335,0.092435,0.095785,0.095785,-1022.659473,0.411591,0.433498,0.434443,0.362126,-1022.247882,-1022.225974,-1022.22503,-1022.297347,3.9408,2314.347,6481.0001,271.55,0.0478,0,263.31,0.0159,0,253.97,0.0671,0,244.99,0.4505,0,201.47,0.0974,0,199.72,0.0326,0,194.84,0.0815,0,189.96,0.0103,0,186.53,0.3368,0,185.75,0.1917,0,14,N,1,0,0,-0.470884,-0.967277,-0.44177,1.99933,5.43141,0.01103,7.44177,202.4172,84.1184,-0.418402,-0.30175,1.99933,5.29178,0.01064,7.30175,7,C,1,0,-0.44851,0.007573,-0.67731,1.99935,4.66633,0.01164,6.67731,163.1667,30.0514,-0.44654,-0.67787,1.99934,4.66669,0.01184,6.67787,5,P,1,0.362001,0.584828,0.84445,9.99855,4.11806,0.03894,14.15555,323.4053,54.2754,0.402384,0.9431,9.99828,4.01642,0.04221,14.0569,13,C,1,0,0,0.363612,0.693869,0.18528,1.99904,3.79738,0.01831,5.81472,49.7788,154.0335,0.339227,0.15413,1.99903,3.8264,0.02044,5.84587,0.662135864,0.597616838,0.802011916,0.67809347
CataCXiumA-11,CCCCP(C12C[C@@H]3C[C@@H](C[C@H](C2)C3)C1)C45C[C@H]6C[C@@H](C5)C[C@@H](C4)C6,C24H39P,0,64,0,1,met,1.1325,358.5459,3352.598,9759.5753,-0.20146,0.05028,0.07559,0.12587,0.12587,-1279.429834,0.594146,0.61638,0.617325,0.544162,-1278.835688,-1278.813454,-1278.812509,-1278.885672,0.9227,3219.822,9765.7879,205.82,0.0656,0,194.37,0.1047,0,192.79,0.0348,0,175.83,0.0006,0,170.86,0.1152,0,167.89,0.0059,0,162.76,0.0064,0,161.89,0.0183,0,160.95,0.0056,0,159.89,0.0098,0,4,C,0,1,0,-0.47426,-0.145311,-0.77141,1.99935,4.7587,0.01336,6.77141,168.6017,21.6124,-0.454984,-0.84009,1.9993,4.819,0.02179,6.84009,1,C,1,0,-0.442233,0.060216,-0.67815,1.99946,4.67117,0.00752,6.67815,175.6124,18.2259,-0.438147,-0.67845,1.99946,4.67128,0.00771,6.67845,5,P,1,0.408325,0.382469,0.86828,9.9987,4.09745,0.03557,14.13172,333.3402,68.1023,0.377991,1.08227,9.99772,3.84296,0.07705,13.91773,40,H,0,1,0,0.157135,-0.007806,0.24436,0,0.75404,0.0016,0.75564,31.2041,7.9743,0.159529,0.24711,0,0.7507,0.00219,0.75289,0.740067663,0.445286069,0.792910392,0.600970031
dppf-4,[c-]1(P(C2=CC=CC=C2)C3=CC=CC=C3)cccc1.[c-]4(P(C5=CC=CC=C5)C6=CC=CC=C6)cccc4.[Fe+2],C34H28FeP2,1,65,0,1,met,2.3599,554.3897,4765.918,21977.2958,-0.19412,-0.01893,0.106525,0.087595,0.087595,-3258.808156,0.517469,0.549338,0.550283,0.448458,-3258.290687,-3258.258817,-3258.257873,-3258.359698,2.4016,4640.499,21979.0115,525.8,0.001,0,525.7,0.0001,0,465.5,0.0002,0,461.5,0.0007,0,351.37,0.0001,0,348.91,0.0003,0,298.78,0.0001,0,297.67,0.0076,0,296.6,0.0012,0,294.94,0.0001,0,13,C,0,1,0,-0.21857,-0.136143,-0.46784,1.99861,4.4409,0.02833,6.46784,110.9565,83.5407,-0.215864,-0.47978,1.99864,4.45325,0.02789,6.47978,2,C,1,0,-0.218577,-0.136132,-0.46784,1.99861,4.4409,0.02833,6.46784,110.9553,83.5391,-0.21587,-0.47979,1.99864,4.45326,0.02789,6.47979,18,P,1,0.37643,0.738886,0.92561,9.99829,4.03251,0.04359,14.07439,375.5315,53.1464,0.374468,0.92358,9.99829,4.03472,0.04341,14.07642,19,P,0,0,1,0.376442,0.738866,0.92561,9.99829,4.03251,0.04359,14.07439,375.5304,53.1533,0.374479,0.92358,9.99829,4.03472,0.04341,14.07642,0.822849615,0.822879555,0.721235891,0.721205952
dtbpf-4,CC(C)(P(C(C)(C)C)[c-]1cccc1)C.CC(C)(P(C(C)(C)C)[c-]2cccc2)C.[Fe+2],C26H44FeP2,1,73,0,1,met,1.5964,474.4281,4060.11,14221.1933,-0.18924,-0.00095,0.095095,0.094145,0.094145,-2963.583904,0.645984,0.680851,0.681795,0.582823,-2962.93792,-2962.903053,-2962.902109,-2963.001081,1.5572,4060.11,14222.7693,539.15,0.0002,0,537.4,0.0002,0,472.15,0.0002,0,471.32,0.0013,0,355.67,0.0001,0,355.56,0.0003,0,268.07,0.0162,0,267.07,0.0001,0,264.09,0.0099,0,263.89,0.0622,0,42,C,0,1,0,-0.453861,0.011238,-0.6768,1.99935,4.66581,0.01164,6.6768,163.439,30.1595,-0.453964,-0.67705,1.99935,4.66597,0.01172,6.67705,52,C,1,0,-0.453865,0.011248,-0.6768,1.99935,4.6658,0.01164,6.6768,163.4378,30.1652,-0.453968,-0.67704,1.99935,4.66597,0.01172,6.67704,19,P,1,0.42999,0.441274,0.88185,9.99842,4.08111,0.03861,14.11815,332.9511,34.4449,0.428552,0.87987,9.99843,4.08318,0.03851,14.12013,47,P,0,0,1,0.430004,0.441256,0.88184,9.99842,4.08112,0.03861,14.11816,332.9449,34.4525,0.428567,0.87986,9.99843,4.08319,0.03852,14.12014,0.592167899,0.592108021,0.801981977,0.802101733
P(Cy)3-16,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,C18H33P,0,52,0,1,met,1.1956,280.4325,2546.386,6059.382,-0.19996,0.05188,0.07404,0.12592,0.12592,-1047.152092,0.486276,0.505453,0.506397,0.439738,-1046.665817,-1046.646639,-1046.645695,-1046.712355,1.3064,2604.924,6063.6145,208.68,0.0583,0,196,0.0933,0,191.46,0.006,0,179.9,0.0285,0,176.65,0.0131,0,172.52,0.0133,0,164.34,0.0066,0,158.8,0.0071,0,157.75,0.0266,0,157.3,0.0134,0,2,C,0,1,0,-0.299999,-0.050352,-0.55315,1.99922,4.53813,0.01581,6.55315,156.7823,13.5872,-0.280971,-0.64929,1.99919,4.62493,0.02517,6.64929,9,C,1,0,-0.277973,-0.053866,-0.54126,1.99923,4.5271,0.01493,6.54126,157.6755,13.9462,-0.264393,-0.55898,1.99917,4.53882,0.02099,6.55898,1,P,1,0.388507,0.341185,0.80786,9.99872,4.15707,0.03636,14.19214,331.0186,42.2024,0.349513,1.03617,9.99774,3.88002,0.08607,13.96383,39,H,0,1,0,0.157369,-0.015635,0.2399,0,0.75879,0.00131,0.7601,29.9076,5.1774,0.138827,0.2265,0,0.77101,0.00249,0.7735,0.804736385,0.82883746,0.812011616,0.511541571
P(o-Tol)3-12,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,C21H21P,0,43,0,1,met,1.018,304.3707,2347.108,6659.6679,-0.20459,-0.02052,0.112555,0.092035,0.092035,-1154.242876,0.358133,0.37864,0.379584,0.308821,-1153.884743,-1153.864236,-1153.863292,-1153.934055,6.7969,2566.172,6665.7765,293.16,0.0515,0,278.55,0.1816,0,257.83,0.0048,0,254.44,0.0036,0,251.96,0.0004,0,245.86,0.0282,0,237.08,0.0128,0,233.53,0.0234,0,232.7,0.006,0,228.81,0.0165,0,22,C,0,1,0,-0.546212,0.024618,-0.69787,1.99938,4.69108,0.00742,6.69787,167.7492,29.999,-0.547072,-0.6997,1.99938,4.69275,0.00757,6.6997,15,C,1,0,-0.546808,0.028894,-0.69773,1.99938,4.69088,0.00746,6.69773,167.2554,25.6833,-0.54805,-0.70301,1.99938,4.69578,0.00785,6.70301,8,P,1,0.34947,0.638324,0.88474,9.99846,4.07623,0.04056,14.11526,361.0138,26.2937,0.477154,1.25486,9.99757,3.70178,0.04579,13.74514,42,H,0,1,0,0.184121,0.014862,0.25264,0,0.74655,0.0008,0.74736,29.4534,5.5612,0.176078,0.24485,0,0.75437,0.00078,0.75515,0.503607676,0.492140954,0.78527589,0.426693812
P(Ph)3,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C18H15P,0,34,0,1,met,1.413,262.2903,2699.682,5470.5751,-0.21146,-0.01885,0.115155,0.096305,0.096305,-1036.298233,0.27422,0.290143,0.291087,0.227727,-1036.024013,-1036.00809,-1036.007146,-1036.070506,3.7713,2076.678,5475.9568,274.97,0.1271,0,274.76,0.1285,0,260.58,0.0022,0,245.14,0.0002,0,245.08,0.0002,0,240.68,0.0085,0,228.45,0.0146,0,224.87,0.0005,0,224.8,0.0004,0,220.69,0.0009,0,2,C,0,1,0,-0.094619,-0.157468,-0.36207,1.99893,4.3399,0.02324,6.36207,56.1606,179.4228,-0.129784,-0.4776,1.99887,4.45255,0.02618,6.4776,14,C,1,0,-0.094558,-0.15746,-0.36196,1.99893,4.33979,0.02324,6.36196,56.1046,179.4567,-0.108448,-0.43963,1.99887,4.41649,0.02427,6.43963,1,P,1,0.334435,0.676221,0.9009,9.99843,4.05876,0.04192,14.0991,361.4428,39.667,0.450688,1.24228,9.9975,3.70998,0.05025,13.75772,34,H,0,1,0,0.147384,0.044668,0.24518,0,0.75337,0.00145,0.75482,25.3972,12.2175,0.130789,0.23644,0,0.76222,0.00134,0.76356,0.732043951,0.732433161,0.702883147,0.522589144
SPhos-3,COC1=CC=CC(OC)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,C26H35O2P,0,64,0,1,met,2.0757,410.5351,4115.549,11199.2079,-0.19746,-0.01169,0.104575,0.092885,0.092885,-1503.63039,0.560826,0.589283,0.590227,0.500781,-1503.069565,-1503.041107,-1503.040163,-1503.129609,4.5959,3455.508,11202.9062,294.42,0.0189,0,279.1,0.0181,0,257.07,0.0321,0,251.23,0.0047,0,247.64,0.0028,0,240.95,0.0129,0,238.28,0.0655,0,232.8,0.0219,0,225.62,0.045,0,223.23,0.0189,0,28,O,0,0,1,-0.511549,-0.8336,-0.52438,1.99974,6.51338,0.01127,8.52438,235.1087,91.8513,-0.495924,-0.51143,1.99974,6.50019,0.01151,8.51143,30,O,0,1,-0.525959,-0.782287,-0.56084,1.99974,6.54907,0.01203,8.56084,263.1861,84.0593,-0.53502,-0.57191,1.99974,6.56038,0.01178,8.57191,7,P,1,0.416157,0.508228,0.86559,9.99864,4.09771,0.03806,14.13441,357.6318,36.8445,0.616826,1.35303,9.99753,3.60843,0.04101,13.64697,27,C,1,0,0,0.341281,0.537226,0.34172,1.99873,3.63818,0.02136,5.65828,39.8234,123.2679,0.332079,0.33313,1.99872,3.64606,0.02209,5.66687,0.632885243,0.665279483,0.80838897,0.7100985
Xantphos-4,CC1(C)C2=C(OC3=C1C=CC=C3P(C4=CC=CC=C4)C5=CC=CC=C5)C(P(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C2,C39H32OP2,1,74,0,1,met,2.0273,578.6287,5272.906,22900.0774,-0.20178,-0.02254,0.11216,0.08962,0.08962,-2263.353102,0.595639,0.631917,0.632861,0.521414,-2262.757463,-2262.721185,-2262.720241,-2262.831688,3.8781,5224.97,22903.3153,295.78,0.036,0,290.55,0.166,0,284.3,0.0297,0,279.5,0.2084,0,276.84,0.0909,0,274.4,0.0407,0,271.11,0.0155,0,267.87,0.0002,0,267.15,0.0044,0,264.65,0.0079,0,6,O,0,0,1,-0.559783,-1.049277,-0.49125,1.99968,6.48107,0.01049,8.49125,170.1766,175.2353,-0.572646,-0.50045,1.99968,6.49048,0.01029,8.50045,3,C,1,0,-0.443,-0.000441,-0.65665,1.99939,4.64782,0.00944,6.65665,156.2669,35.9485,-0.44059,-0.65729,1.99939,4.64823,0.00968,6.65729,13,P,1,0.415218,0.732546,0.92471,9.99843,4.03576,0.0411,14.07529,376.3243,29.2776,0.450617,1.06597,9.99796,3.89054,0.04552,13.93403,27,P,0,0,1,0.419247,0.719555,0.93076,9.99842,4.02994,0.04088,14.06924,369.21,35.4194,0.461709,1.09781,9.99786,3.85826,0.04606,13.90219,0.692643933,0.548546451,0.728750636,0.726804587
XPhos-20,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,C33H49P,0,83,0,1,met,1.1405,476.7239,4354.399,15698.8902,-0.20623,-0.01816,0.112195,0.094035,0.094035,-1628.409182,0.75122,0.787038,0.787982,0.683948,-1627.657962,-1627.622144,-1627.6212,-1627.725234,5.8317,4438.137,15702.1262,290.29,0.0152,0,265.65,0.012,0,254.2,0.0112,0,248.6,0.0047,0,244.63,0.0007,0,239.94,0.0028,0,235.58,0.0024,0,234.41,0.0757,0,232.43,0.0293,0,225.57,0.0043,0,36,C,0,1,0,-0.458601,0.033258,-0.67219,1.99943,4.66425,0.00851,6.67219,166.89,25.5467,-0.456707,-0.67015,1.99943,4.66237,0.00834,6.67015,29,C,1,0,-0.462058,0.055879,-0.66728,1.99943,4.65927,0.00858,6.66728,166.5251,28.3782,-0.463153,-0.66646,1.99943,4.65864,0.00839,6.66646,7,P,1,0.406919,0.419033,0.81642,9.99863,4.15173,0.03322,14.18358,383.4788,60.7624,0.555571,1.22513,9.99764,3.73834,0.03889,13.77487,83,H,0,1,0,0.168529,-0.00054,0.24089,0,0.75829,0.00082,0.75911,30.4661,6.7259,0.144571,0.22589,0,0.77325,0.00086,0.77411,0.552228975,0.54315739,0.842070597,0.515673183
P(tBu)3,CC(P(C(C)(C)C)C(C)(C)C)(C)C,C12H27P,0,40,0,1,failed,1.0923,202.3191,2250.129,2965.7028,-0.20012,0.06186,0.06913,0.13099,0.13099,-814.8756666,0.371424,0.38926,0.390204,0.330018,-814.504243,-814.486406,-814.485462,-814.545649,1.1415,2152.297,2969.0198,198.83,0.0711,0,198.8,0.0711,0,189.54,0.0041,0,184.93,0.0145,0,161.91,0.0029,0,161.89,0.003,0,155.97,0.0129,0,155.61,0,0,153.08,0.0069,0,153.06,0.007,0,12,C,0,1,0,-0.453372,0.017311,-0.67429,1.99935,4.66349,0.01145,6.67429,162.3979,29.6595,-0.461996,-0.67654,1.99932,4.66474,0.01248,6.67654,11,C,1,0,-0.453385,0.017362,-0.67429,1.99935,4.66349,0.01145,6.67429,162.3983,29.6444,-0.458448,-0.67422,1.99933,4.66333,0.01155,6.67422,3,P,1,0.393548,0.320086,0.81265,9.9987,4.154,0.03465,14.18735,294.3981,61.801,0.307655,0.99468,9.99775,3.92488,0.08269,14.00532,24,H,0,1,0,0.156554,-0.001763,0.2405,0,0.75855,0.00095,0.7595,30.7256,7.7571,0.149191,0.23659,0,0.76256,0.00085,0.76341,0.613963654,0.614652256,0.826112991,0.445705218
